Time Frame,Frequency
0,2158.0
1,2136.5
2,2136.5
3,2115.0
4,2115.0
5,2115.0
6,2136.5
7,2136.5
8,2136.5
9,2136.5
10,2136.5
11,2136.5
12,2136.5
13,2136.5
14,2136.5
15,2136.5
16,2136.5
17,2136.5
18,2136.5
19,2136.5
20,2136.5
21,2136.5
22,2136.5
23,2136.5
24,2136.5
25,2136.5
26,2136.5
27,2136.5
28,2115.0
29,2115.0
30,2115.0
31,2115.0
32,2115.0
33,2115.0
34,2115.0
35,2115.0
36,2115.0
37,2093.5
38,2093.5
39,2093.5
40,2093.5
41,2115.0
42,2115.0
43,2115.0
44,2115.0
45,2115.0
46,2115.0
47,2115.0
48,2115.0
49,2093.5
50,2093.5
51,2093.5
52,2115.0
53,2115.0
54,2115.0
55,2115.0
56,2115.0
57,2115.0
58,2136.5
59,2136.5
60,2136.5
61,2136.5
62,2136.5
63,2136.5
64,2136.5
65,2136.5
66,2115.0
67,2115.0
68,2115.0
69,2115.0
70,2115.0
71,2115.0
72,2115.0
73,2115.0
74,2115.0
75,2115.0
76,2115.0
77,2115.0
78,2115.0
79,2115.0
80,2115.0
81,2115.0
82,2115.0
83,2115.0
84,2115.0
85,2115.0
86,2115.0
87,2115.0
88,2115.0
89,2115.0
90,2115.0
91,2115.0
92,2115.0
93,2115.0
94,2115.0
95,2115.0
96,2115.0
97,2115.0
98,2115.0
99,2115.0
100,2115.0
101,2136.5
102,2136.5
103,2136.5
104,2136.5
105,2136.5
106,2136.5
107,2136.5
108,2136.5
109,2158.0
110,2158.0
111,2158.0
112,2158.0
113,2158.0
114,2158.0
115,2158.0
116,2158.0
117,2158.0
118,2158.0
119,2158.0
120,2158.0
121,2158.0
122,2158.0
123,2158.0
124,2158.0
125,2158.0
126,2158.0
127,2158.0
128,2158.0
129,2158.0
130,2158.0
131,2158.0
132,2158.0
133,2158.0
134,2158.0
135,2158.0
136,2136.5
137,2136.5
138,2136.5
139,2136.5
140,2136.5
141,2136.5
142,2115.0
143,2115.0
144,2115.0
145,2115.0
146,2115.0
147,2115.0
148,2115.0
149,2115.0
150,2115.0
151,2115.0
152,2115.0
153,2115.0
154,2115.0
155,2115.0
156,2115.0
157,2115.0
158,2115.0
159,2115.0
160,2115.0
161,2115.0
162,2115.0
163,2115.0
164,2115.0
165,2115.0
166,2136.5
167,2136.5
168,2136.5
169,2136.5
170,2136.5
171,2136.5
172,2136.5
173,2136.5
174,2136.5
175,2136.5
176,2136.5
177,2136.5
178,2136.5
179,2136.5
180,2136.5
181,2136.5
182,2158.0
183,2158.0
184,2158.0
185,2158.0
186,2158.0
187,2158.0
188,2136.5
189,2136.5
190,2136.5
191,2136.5
192,2136.5
193,2136.5
194,2136.5
195,2136.5
196,2136.5
197,2136.5
198,2136.5
199,2136.5
200,2136.5
201,2136.5
202,2136.5
203,2136.5
204,2136.5
205,2136.5
206,2136.5
207,2115.0
208,2115.0
209,2136.5
210,2136.5
211,2115.0
212,2115.0
213,2115.0
214,2115.0
215,2115.0
216,2115.0
217,2115.0
218,2115.0
219,2115.0
220,2115.0
221,2115.0
222,2115.0
223,2115.0
224,2115.0
225,2115.0
226,2115.0
227,2115.0
228,2115.0
229,2115.0
230,2115.0
231,2115.0
232,2115.0
233,2115.0
234,2115.0
235,2115.0
236,2115.0
237,2115.0
