Time Frame,Frequency
0,2050.5
1,2050.5
2,2072.0
3,2072.0
4,2072.0
5,2093.5
6,2072.0
7,2072.0
8,2093.5
9,2093.5
10,2093.5
11,2093.5
12,2093.5
13,2093.5
14,2093.5
15,2093.5
16,2072.0
17,2072.0
18,2093.5
19,2093.5
20,2093.5
21,2072.0
22,2093.5
23,2093.5
24,2093.5
25,2093.5
26,2093.5
27,2093.5
28,2093.5
29,2093.5
30,2093.5
31,2093.5
32,2072.0
33,2072.0
34,2072.0
35,2072.0
36,2093.5
37,2093.5
38,2093.5
39,2093.5
40,2093.5
41,2093.5
42,2093.5
43,2093.5
44,2093.5
45,2093.5
46,2093.5
47,2093.5
48,2093.5
49,2093.5
50,2093.5
51,2093.5
52,2093.5
53,2093.5
54,2093.5
55,2072.0
56,2072.0
57,2072.0
58,2093.5
59,2072.0
60,2072.0
61,2072.0
62,2072.0
63,2072.0
64,2072.0
65,2072.0
66,2072.0
67,2093.5
68,2072.0
69,2072.0
70,2072.0
71,2093.5
72,2093.5
73,2093.5
74,2093.5
75,2093.5
76,2093.5
77,2093.5
78,2072.0
79,2093.5
80,2093.5
81,2093.5
82,2093.5
83,2093.5
84,2093.5
85,2093.5
86,2093.5
87,2093.5
88,2072.0
89,2072.0
90,2093.5
91,2093.5
92,2093.5
93,2093.5
94,2093.5
95,2093.5
96,2093.5
97,2093.5
98,2093.5
99,2093.5
100,2093.5
101,2093.5
102,2093.5
103,2093.5
104,2093.5
105,2093.5
106,2093.5
107,2093.5
108,2093.5
109,2093.5
110,2093.5
111,2093.5
112,2093.5
113,2093.5
114,2093.5
115,2093.5
116,2093.5
117,2072.0
118,2072.0
119,2072.0
120,2093.5
121,2072.0
122,2072.0
123,2072.0
124,2072.0
125,2072.0
126,2072.0
127,2072.0
128,2072.0
129,2072.0
130,2072.0
131,2072.0
132,2072.0
133,2072.0
134,2072.0
135,2093.5
136,2072.0
137,2072.0
138,2093.5
139,2093.5
140,2093.5
141,2093.5
142,2093.5
143,2093.5
144,2093.5
145,2093.5
146,2093.5
147,2093.5
148,2093.5
149,2093.5
150,2072.0
151,2072.0
152,2072.0
153,2072.0
154,2072.0
155,2072.0
156,2072.0
157,2093.5
158,2093.5
159,2093.5
160,2093.5
161,2093.5
162,2093.5
163,2093.5
164,2093.5
165,2093.5
166,2115.0
167,2093.5
168,2093.5
169,2093.5
170,2093.5
171,2093.5
172,2093.5
173,2093.5
174,2093.5
175,2093.5
176,2093.5
177,2093.5
178,2093.5
179,2093.5
180,2093.5
181,2093.5
182,2115.0
183,2115.0
184,2115.0
185,2115.0
186,2115.0
187,2115.0
188,2115.0
189,2115.0
190,2115.0
191,2115.0
192,2115.0
193,2115.0
194,2093.5
195,2093.5
196,2093.5
197,2093.5
198,2093.5
199,2093.5
200,2093.5
201,2093.5
202,2093.5
203,2093.5
204,2093.5
205,2093.5
206,2093.5
207,2093.5
208,2115.0
209,2115.0
210,2115.0
211,2115.0
212,2093.5
213,2115.0
214,2093.5
215,2093.5
216,2093.5
217,2093.5
218,2093.5
219,2093.5
220,2093.5
221,2093.5
222,2093.5
223,2093.5
224,2093.5
225,2093.5
226,2093.5
227,2093.5
228,2093.5
229,2115.0
230,2093.5
231,2115.0
232,2093.5
233,2093.5
234,2115.0
235,2115.0
236,2093.5
237,2115.0
238,2093.5
239,2093.5
240,2093.5
241,2093.5
