Time Frame,Frequency
0,1986.0
1,1943.0
2,1943.0
3,1943.0
4,1943.0
5,2072.0
6,1964.5
7,1986.0
8,2007.5
9,2007.5
10,2072.0
11,2072.0
12,1921.5
13,1943.0
14,1943.0
15,2007.5
16,2072.0
17,2007.5
18,2029.0
19,2029.0
20,2029.0
21,1943.0
22,1943.0
23,2072.0
24,1921.5
25,1921.5
26,2072.0
27,2072.0
28,2072.0
29,1986.0
30,2072.0
31,1986.0
32,1986.0
33,2072.0
34,1921.5
35,1943.0
36,2072.0
37,2072.0
38,2050.5
39,1943.0
40,2072.0
41,1986.0
42,1964.5
43,1986.0
44,1964.5
45,1943.0
46,2029.0
47,2029.0
48,2072.0
49,2072.0
50,2072.0
51,1921.5
52,1943.0
53,1921.5
54,2072.0
55,2072.0
56,2072.0
57,2072.0
58,2072.0
59,2072.0
60,2072.0
61,2072.0
62,2072.0
63,2072.0
64,2072.0
65,2072.0
66,2072.0
67,2072.0
68,2072.0
69,2072.0
70,2072.0
71,2072.0
72,2072.0
73,1943.0
74,1921.5
75,2072.0
76,2072.0
77,2072.0
78,2072.0
79,2072.0
80,2072.0
81,2072.0
82,2072.0
83,2072.0
84,2072.0
85,2072.0
86,2072.0
87,2072.0
88,2072.0
89,1986.0
90,2072.0
91,2072.0
92,2072.0
93,2072.0
94,2072.0
95,2072.0
96,2072.0
97,2072.0
98,2072.0
99,2072.0
100,2072.0
101,2072.0
102,2072.0
103,2072.0
104,2072.0
105,2072.0
106,2072.0
107,1986.0
108,1986.0
109,1986.0
110,2072.0
111,2072.0
112,2072.0
113,2072.0
114,1986.0
115,2072.0
116,2072.0
117,2072.0
118,2072.0
119,2072.0
120,2072.0
121,2072.0
122,2072.0
123,2072.0
124,2072.0
125,2072.0
126,1964.5
127,2072.0
128,2072.0
129,2072.0
130,2072.0
131,2072.0
132,2072.0
133,2072.0
134,2072.0
135,2072.0
136,2072.0
137,2072.0
138,2072.0
139,2072.0
140,2072.0
141,2072.0
142,2072.0
143,2072.0
144,2072.0
145,2072.0
146,2007.5
147,2072.0
148,2029.0
149,2072.0
150,2072.0
151,2072.0
152,2072.0
153,2072.0
154,2072.0
155,2072.0
156,2029.0
157,2072.0
158,2072.0
159,1986.0
160,2072.0
161,2072.0
