Time Frame,Frequency
0.00,2115.00
1.00,2115.00
2.00,2115.00
3.00,2115.00
4.00,2115.00
5.00,2115.00
6.00,2115.00
7.00,2136.50
8.00,2136.50
9.00,2136.50
10.00,2136.50
11.00,2136.50
12.00,2136.50
13.00,2136.50
14.00,2136.50
15.00,2136.50
16.00,2136.50
17.00,2136.50
18.00,2136.50
19.00,2136.50
20.00,2136.50
21.00,2158.00
22.00,2158.00
23.00,2158.00
24.00,2158.00
25.00,2158.00
26.00,2158.00
27.00,2158.00
28.00,2158.00
29.00,2158.00
30.00,2158.00
31.00,2158.00
32.00,2158.00
33.00,2158.00
34.00,2158.00
35.00,2158.00
36.00,2158.00
37.00,2158.00
38.00,2158.00
39.00,2158.00
40.00,2158.00
41.00,2158.00
42.00,2179.50
43.00,2158.00
44.00,2158.00
45.00,2158.00
46.00,2158.00
47.00,2158.00
48.00,2158.00
49.00,2158.00
50.00,2158.00
51.00,2158.00
52.00,2158.00
53.00,2158.00
54.00,2158.00
55.00,2158.00
56.00,2158.00
57.00,2158.00
58.00,2158.00
59.00,2158.00
60.00,2158.00
61.00,2158.00
62.00,2158.00
63.00,2158.00
64.00,2179.50
65.00,2179.50
66.00,2179.50
67.00,2179.50
68.00,2179.50
69.00,2179.50
70.00,2179.50
71.00,2179.50
72.00,2179.50
73.00,2179.50
74.00,2179.50
75.00,2179.50
76.00,2158.00
77.00,2158.00
78.00,2158.00
79.00,2158.00
80.00,2179.50
81.00,2158.00
82.00,2179.50
83.00,2179.50
84.00,2158.00
85.00,2158.00
86.00,2158.00
87.00,2158.00
88.00,2158.00
89.00,2158.00
90.00,2158.00
91.00,2158.00
92.00,2158.00
93.00,2158.00
94.00,2158.00
95.00,2158.00
96.00,2158.00
97.00,2158.00
98.00,2158.00
99.00,2158.00
100.00,2158.00
101.00,2158.00
102.00,2158.00
103.00,2158.00
104.00,2158.00
105.00,2158.00
106.00,2158.00
107.00,2158.00
108.00,2158.00
109.00,2158.00
110.00,2158.00
111.00,2158.00
112.00,2158.00
113.00,2158.00
114.00,2158.00
115.00,2158.00
116.00,2158.00
117.00,2158.00
118.00,2158.00
119.00,2158.00
120.00,2158.00
121.00,2158.00
122.00,2158.00
123.00,2158.00
124.00,2158.00
125.00,2158.00
126.00,2158.00
127.00,2158.00
128.00,2158.00
129.00,2158.00
130.00,2158.00
131.00,2158.00
132.00,2158.00
133.00,2158.00
134.00,2158.00
135.00,2158.00
136.00,2158.00
137.00,2158.00
138.00,2158.00
139.00,2158.00
140.00,2158.00
141.00,2158.00
142.00,2158.00
143.00,2158.00
144.00,2158.00
145.00,2179.50
146.00,2179.50
147.00,2179.50
148.00,2179.50
149.00,2179.50
150.00,2179.50
151.00,2179.50
152.00,2179.50
153.00,2179.50
154.00,2179.50
155.00,2179.50
156.00,2179.50
157.00,2179.50
158.00,2179.50
159.00,2179.50
160.00,2179.50
161.00,2179.50
162.00,2179.50
163.00,2179.50
164.00,2179.50
165.00,2179.50
166.00,2179.50
167.00,2179.50
168.00,2179.50
169.00,2179.50
170.00,2179.50
171.00,2179.50
172.00,2179.50
173.00,2179.50
174.00,2179.50
175.00,2179.50
176.00,2179.50
177.00,2179.50
178.00,2179.50
179.00,2179.50
180.00,2179.50
181.00,2158.00
182.00,2158.00
183.00,2158.00
184.00,2158.00
185.00,2158.00
186.00,2158.00
187.00,2158.00
188.00,2158.00
189.00,2158.00
190.00,2158.00
191.00,2158.00
192.00,2136.50
193.00,2136.50
194.00,2136.50
195.00,2136.50
196.00,2136.50
197.00,2136.50
198.00,2136.50
199.00,2136.50
200.00,2136.50
201.00,2136.50
202.00,2136.50
203.00,2136.50
204.00,2136.50
205.00,2158.00
206.00,2158.00
207.00,2158.00
208.00,2158.00
209.00,2158.00
210.00,2158.00
211.00,2158.00
212.00,2158.00
213.00,2158.00
214.00,2158.00
215.00,2158.00
216.00,2158.00
217.00,2158.00
218.00,2158.00
219.00,2158.00
220.00,2158.00
221.00,2158.00
222.00,2158.00
223.00,2158.00
224.00,2158.00
225.00,2158.00
226.00,2158.00
227.00,2158.00
228.00,2179.50
229.00,2179.50
230.00,2179.50
231.00,2179.50
232.00,2158.00
233.00,2158.00
234.00,2158.00
235.00,2158.00
236.00,2158.00
237.00,2158.00
238.00,2158.00
239.00,2158.00
240.00,2158.00
241.00,2158.00
242.00,2158.00
243.00,2158.00
244.00,2158.00
245.00,2158.00
246.00,2158.00
247.00,2158.00
248.00,2158.00
249.00,2158.00
250.00,2158.00
251.00,2158.00
252.00,2158.00
253.00,2179.50
254.00,2179.50
255.00,2179.50
256.00,2158.00
