Time Frame,Frequency
0,2050.5
1,2072.0
2,2072.0
3,2072.0
4,2072.0
5,2072.0
6,2072.0
7,2072.0
8,2093.5
9,2093.5
10,2093.5
11,2093.5
12,2093.5
13,2115.0
14,2115.0
15,2093.5
16,2115.0
17,2115.0
18,2093.5
19,2093.5
20,2072.0
21,2050.5
22,2050.5
23,2050.5
24,2050.5
25,2029.0
26,2029.0
27,2050.5
28,2072.0
29,2093.5
30,2093.5
31,2115.0
32,2115.0
33,2115.0
34,2115.0
35,2115.0
36,2136.5
37,2115.0
38,2115.0
39,2115.0
40,2115.0
41,2093.5
42,2007.5
43,1986.0
44,2115.0
45,2115.0
46,2093.5
47,2115.0
48,2093.5
49,2115.0
50,2115.0
51,2093.5
52,2115.0
53,2115.0
54,2093.5
55,2093.5
56,2093.5
57,2115.0
58,2115.0
59,2093.5
60,2115.0
61,2115.0
62,2136.5
63,2136.5
64,1986.0
65,1986.0
66,1986.0
67,2136.5
68,2136.5
69,2136.5
70,2136.5
71,2136.5
72,2136.5
73,2136.5
74,2136.5
75,2136.5
76,2136.5
77,2136.5
78,2136.5
79,2136.5
80,2115.0
81,2136.5
82,2136.5
83,2115.0
84,2115.0
85,2115.0
86,2093.5
87,2115.0
88,2093.5
89,2093.5
90,2115.0
91,2093.5
92,2093.5
93,2093.5
94,2093.5
95,2093.5
96,2093.5
97,2115.0
98,2093.5
99,2093.5
100,2093.5
101,2093.5
102,2093.5
103,2093.5
104,2093.5
105,2093.5
106,2093.5
107,2115.0
108,2115.0
109,2115.0
110,2115.0
111,2115.0
112,2115.0
113,2115.0
114,2115.0
115,2115.0
116,2136.5
117,2115.0
118,2115.0
119,2115.0
120,2115.0
121,2115.0
122,2093.5
123,2115.0
124,2115.0
125,2115.0
126,2115.0
127,2115.0
128,2115.0
129,2115.0
130,2115.0
131,2115.0
132,2115.0
133,2093.5
134,1986.0
135,2093.5
136,2072.0
137,2093.5
138,2115.0
139,2115.0
140,2093.5
141,2115.0
142,2093.5
143,2115.0
144,2115.0
145,2093.5
146,2115.0
147,2136.5
148,2136.5
149,2136.5
150,2136.5
151,2136.5
152,2115.0
153,2115.0
154,2115.0
155,2115.0
156,2115.0
157,2115.0
158,2136.5
159,2136.5
160,2136.5
161,2136.5
162,2136.5
163,2136.5
164,2136.5
165,2136.5
166,2115.0
167,2136.5
168,2136.5
169,2136.5
170,2115.0
171,2115.0
172,2115.0
173,2115.0
174,2115.0
175,2093.5
176,2115.0
177,2093.5
178,2115.0
179,2093.5
180,2093.5
181,2115.0
182,2093.5
183,2115.0
184,2115.0
185,2093.5
186,2115.0
187,2115.0
188,2115.0
189,2115.0
190,2115.0
191,2115.0
192,2115.0
193,2115.0
194,2115.0
195,2115.0
196,2115.0
197,2115.0
198,2115.0
199,2136.5
200,2136.5
201,2136.5
202,2136.5
203,2136.5
204,2136.5
205,2136.5
206,2136.5
207,2136.5
208,2136.5
209,2136.5
210,2136.5
211,2136.5
212,2136.5
213,2136.5
214,2136.5
215,2136.5
216,2136.5
217,2136.5
218,2115.0
219,2136.5
220,2115.0
221,2136.5
222,2136.5
223,2136.5
224,2136.5
225,2115.0
226,2115.0
227,2115.0
228,2115.0
229,2093.5
230,2115.0
231,2093.5
232,2115.0
233,2115.0
234,2115.0
235,2115.0
236,2136.5
237,2115.0
238,2136.5
239,2136.5
240,2136.5
241,2136.5
242,2136.5
243,2136.5
244,2136.5
245,2136.5
246,2115.0
247,2136.5
248,2136.5
249,2136.5
250,2136.5
251,2136.5
252,2136.5
253,2136.5
254,2136.5
255,2136.5
256,2136.5
257,2136.5
258,2136.5
259,2115.0
260,2115.0
261,2115.0
262,2115.0
263,2115.0
264,2115.0
265,2136.5
266,2136.5
267,2136.5
268,2136.5
269,2136.5
270,2136.5
271,2136.5
272,2136.5
273,2136.5
274,2136.5
275,2115.0
276,2093.5
277,2115.0
278,2115.0
279,2115.0
280,2115.0
281,2115.0
282,2136.5
283,2136.5
284,2136.5
285,2115.0
286,2136.5
287,2136.5
288,2136.5
289,2136.5
290,2136.5
291,2136.5
292,2136.5
293,2136.5
294,2115.0
295,2136.5
296,2115.0
297,2115.0
298,2115.0
299,2115.0
300,2115.0
301,2115.0
302,2093.5
303,2093.5
304,2093.5
305,2115.0
306,2115.0
307,2093.5
308,2115.0
309,2115.0
310,2136.5
311,2136.5
312,2136.5
313,2115.0
314,2136.5
315,2136.5
316,2115.0
317,2136.5
318,2136.5
319,2136.5
320,2136.5
321,2136.5
322,2136.5
323,2136.5
324,2136.5
325,2115.0
326,2115.0
327,2115.0
328,2136.5
329,2115.0
330,2115.0
331,2136.5
332,2115.0
333,2115.0
334,2115.0
335,2136.5
