Time Frame,Frequency
0,1986.0
1,1921.5
2,2050.5
3,2050.5
4,2072.0
5,1921.5
6,1943.0
7,2072.0
8,2072.0
9,2072.0
10,2072.0
11,2072.0
12,2072.0
13,2072.0
14,2072.0
15,2072.0
16,2072.0
17,2072.0
18,2072.0
19,2072.0
20,2072.0
21,2072.0
22,2072.0
23,2072.0
24,1943.0
25,2072.0
26,2072.0
27,2072.0
28,1921.5
29,1921.5
30,1964.5
31,1986.0
32,1986.0
33,1986.0
34,1986.0
35,1986.0
36,1943.0
37,1921.5
38,2072.0
39,1964.5
40,1921.5
41,1943.0
42,2029.0
43,1921.5
44,2007.5
45,2072.0
46,2050.5
47,2050.5
48,2050.5
49,2050.5
50,1943.0
51,1943.0
52,1921.5
53,1921.5
54,2029.0
55,2029.0
56,2007.5
57,1986.0
58,1964.5
59,1964.5
60,2072.0
61,1943.0
62,2050.5
63,1943.0
64,1986.0
65,1943.0
66,1943.0
67,2007.5
68,2007.5
69,2029.0
70,2029.0
71,2029.0
72,2029.0
73,2029.0
74,2029.0
75,1921.5
76,2072.0
77,1964.5
78,2072.0
79,2072.0
80,2072.0
81,2072.0
82,2072.0
83,2072.0
84,2072.0
85,2007.5
86,2072.0
87,1943.0
88,2029.0
89,2072.0
90,2072.0
91,2072.0
92,2072.0
93,2050.5
94,2072.0
95,2072.0
96,2072.0
97,2072.0
98,2072.0
99,2072.0
100,2072.0
101,2072.0
102,2072.0
103,2072.0
104,2072.0
105,2072.0
106,2072.0
107,2072.0
108,2072.0
109,2072.0
110,2072.0
111,2072.0
112,2029.0
113,2072.0
114,2072.0
115,2072.0
116,1943.0
117,1921.5
118,2072.0
119,2029.0
120,2072.0
121,2072.0
122,1986.0
123,2072.0
124,2072.0
125,2072.0
126,2072.0
127,2072.0
128,2072.0
129,2072.0
130,2072.0
131,2072.0
132,2072.0
133,2072.0
134,1921.5
135,2072.0
136,2072.0
137,2072.0
138,2072.0
139,2072.0
140,2072.0
141,2072.0
142,2072.0
143,2072.0
144,2072.0
145,2072.0
146,2072.0
147,2072.0
148,2072.0
149,2072.0
150,2072.0
151,2072.0
152,2072.0
153,2072.0
154,2072.0
155,2072.0
156,2072.0
157,2072.0
158,2072.0
159,1964.5
160,2029.0
161,2029.0
162,2029.0
163,2072.0
164,1921.5
165,1943.0
166,1986.0
167,2072.0
168,1943.0
169,1943.0
170,1943.0
171,1986.0
172,2072.0
173,2050.5
174,1986.0
175,1964.5
176,1943.0
177,1921.5
178,1943.0
179,2072.0
180,1986.0
181,1986.0
182,1964.5
183,1986.0
184,2029.0
185,1943.0
186,2072.0
187,2050.5
188,2029.0
189,2029.0
190,1986.0
191,2072.0
192,1964.5
193,2029.0
194,1943.0
195,1921.5
196,1964.5
197,1986.0
198,1986.0
199,2029.0
200,2029.0
201,1921.5
202,2050.5
203,2072.0
204,2072.0
205,1964.5
206,1986.0
207,2072.0
208,2029.0
209,2072.0
210,2050.5
211,1943.0
212,2029.0
213,2007.5
214,2007.5
215,2029.0
216,2029.0
217,2029.0
218,2072.0
219,2072.0
220,1921.5
221,2007.5
222,2072.0
223,2072.0
224,1943.0
225,1986.0
226,1986.0
227,1986.0
228,1986.0
229,1943.0
230,2050.5
231,2072.0
232,1964.5
233,1986.0
234,1943.0
235,2029.0
236,2072.0
237,2072.0
238,2072.0
239,2072.0
240,1921.5
241,2029.0
242,2072.0
243,2072.0
244,2072.0
245,2007.5
246,2029.0
247,2029.0
248,2007.5
249,2007.5
250,1943.0
251,2029.0
252,1986.0
253,1921.5
254,1921.5
255,1943.0
256,2029.0
257,1986.0
258,1986.0
259,2072.0
260,1986.0
261,1943.0
262,1943.0
263,2029.0
264,2029.0
265,2029.0
266,2007.5
267,2007.5
268,2007.5
269,1943.0
270,1986.0
271,1986.0
272,1964.5
273,1986.0
274,1986.0
275,1964.5
276,1921.5
277,1943.0
278,2029.0
279,1986.0
280,1986.0
281,1964.5
282,2050.5
283,2072.0
284,2007.5
285,1986.0
286,1964.5
287,1986.0
288,1986.0
289,1986.0
290,1986.0
291,1986.0
292,2029.0
293,2050.5
294,2050.5
295,2072.0
296,1943.0
297,2029.0
298,2029.0
299,2007.5
300,2007.5
301,1943.0
302,2007.5
303,2007.5
304,2007.5
305,2029.0
306,2029.0
307,2029.0
308,1964.5
309,1986.0
310,1943.0
311,1943.0
312,2029.0
313,2072.0
314,2072.0
315,1943.0
316,1943.0
317,2072.0
318,2072.0
319,1986.0
320,1986.0
321,1943.0
322,1943.0
323,1943.0
324,2072.0
325,2072.0
326,2072.0
327,2050.5
328,2029.0
329,2029.0
330,2029.0
331,2007.5
332,2029.0
333,2072.0
334,2072.0
335,1943.0
336,1943.0
337,1964.5
338,1921.5
339,1921.5
340,1921.5
341,2029.0
342,1986.0
343,2029.0
344,2029.0
345,2007.5
346,2007.5
347,2072.0
348,2072.0
349,1964.5
350,1964.5
351,2072.0
352,1943.0
353,1943.0
354,2072.0
355,1964.5
356,1986.0
357,1986.0
358,1964.5
359,1943.0
360,1943.0
361,2072.0
362,2072.0
363,1921.5
364,1943.0
365,2029.0
366,2029.0
367,2029.0
368,2029.0
369,2072.0
370,1943.0
371,2072.0
372,2072.0
373,1964.5
374,2072.0
375,1943.0
376,1921.5
377,2029.0
378,1986.0
379,1986.0
380,2072.0
381,2072.0
382,2050.5
383,2050.5
384,1943.0
385,1921.5
386,2072.0
387,1921.5
388,1943.0
389,2029.0
390,2029.0
391,2050.5
392,2072.0
393,2072.0
394,2072.0
395,2072.0
396,1964.5
397,1986.0
398,1943.0
399,2072.0
400,2072.0
401,1964.5
402,2029.0
403,2029.0
404,2029.0
405,2007.5
406,2029.0
407,2029.0
408,2029.0
409,2072.0
410,2007.5
411,2072.0
412,2072.0
413,2029.0
414,2029.0
415,2050.5
416,2050.5
417,2072.0
418,2050.5
419,2050.5
420,2050.5
421,2050.5
422,2029.0
423,1964.5
424,2072.0
425,2072.0
426,2072.0
427,2050.5
428,2050.5
429,2050.5
430,2072.0
431,2029.0
432,1943.0
433,1921.5
434,1943.0
435,2072.0
436,1943.0
437,1921.5
438,2072.0
439,2072.0
440,1943.0
441,1943.0
442,1921.5
443,1921.5
444,1986.0
445,1921.5
446,1921.5
447,2072.0
448,1986.0
449,1943.0
450,1921.5
451,1921.5
452,1986.0
453,2029.0
454,2029.0
455,2007.5
456,2072.0
457,2072.0
458,1943.0
459,1921.5
460,1943.0
461,2072.0
462,2072.0
463,2050.5
464,2050.5
465,2050.5
466,2072.0
467,2007.5
468,2007.5
469,1921.5
470,2029.0
471,2029.0
472,2029.0
473,2072.0
474,2072.0
475,2072.0
476,1921.5
477,1921.5
478,1964.5
479,2029.0
480,1943.0
481,2029.0
482,2007.5
483,2029.0
484,2029.0
485,2072.0
486,2072.0
487,1921.5
488,2072.0
489,2072.0
490,1986.0
491,2050.5
492,2050.5
493,1943.0
494,2072.0
495,2072.0
496,2007.5
497,2029.0
498,2029.0
499,2072.0
500,2072.0
501,2029.0
502,2029.0
503,2007.5
504,2007.5
505,1964.5
506,2029.0
507,2029.0
508,2029.0
509,2072.0
510,2007.5
511,1943.0
512,1921.5
513,2072.0
514,2072.0
515,1943.0
