Time Frame,Frequency
0,2179.5
1,2201.0
2,2179.5
3,2179.5
4,2179.5
5,2179.5
6,2158.0
7,2158.0
8,2158.0
9,2136.5
10,2136.5
11,2136.5
12,2136.5
13,2115.0
14,2115.0
15,2115.0
16,2115.0
17,2115.0
18,2115.0
19,2115.0
20,2115.0
21,2115.0
22,2115.0
23,2115.0
24,2115.0
25,2115.0
26,2115.0
27,2136.5
28,2136.5
29,2136.5
30,2136.5
31,2136.5
32,2158.0
33,2158.0
34,2158.0
35,2158.0
36,2158.0
37,2158.0
38,2179.5
39,2179.5
40,2179.5
41,2179.5
42,2179.5
43,2179.5
44,2179.5
45,2179.5
46,2179.5
47,2179.5
48,2201.0
49,2201.0
50,2201.0
51,2201.0
52,2201.0
53,2222.5
54,2201.0
55,2222.5
56,2222.5
57,2222.5
58,2222.5
59,2222.5
60,2222.5
61,2222.5
62,2222.5
63,2222.5
64,2222.5
65,2222.5
66,2222.5
67,2222.5
68,2244.0
69,2244.0
70,2244.0
71,2244.0
72,2244.0
73,2244.0
74,2244.0
75,2244.0
76,2244.0
77,2222.5
78,2222.5
79,2222.5
80,2222.5
81,2222.5
82,2201.0
83,2201.0
84,2201.0
85,2201.0
86,2201.0
87,2201.0
88,2201.0
89,2201.0
90,2222.5
91,2222.5
92,2201.0
93,2201.0
94,2201.0
95,2201.0
96,2201.0
97,2201.0
98,2201.0
99,2201.0
100,2201.0
101,2201.0
102,2201.0
103,2179.5
104,2179.5
105,2179.5
106,2158.0
107,2179.5
108,2179.5
109,2179.5
110,2179.5
111,2179.5
112,2179.5
113,2179.5
114,2179.5
115,2179.5
116,2179.5
117,2158.0
118,2158.0
119,2158.0
120,2158.0
121,2158.0
122,2158.0
123,2158.0
124,2158.0
125,2158.0
126,2158.0
127,2158.0
128,2158.0
129,2158.0
130,2158.0
131,2158.0
132,2158.0
133,2158.0
134,2179.5
135,2158.0
136,2158.0
137,2179.5
138,2179.5
139,2179.5
140,2158.0
141,2158.0
142,2158.0
143,2158.0
144,2158.0
145,2158.0
146,2158.0
147,2158.0
148,2158.0
149,2179.5
150,2179.5
151,2179.5
152,2179.5
153,2179.5
154,2201.0
155,2201.0
156,2201.0
157,2201.0
158,2201.0
159,2201.0
160,2222.5
161,2222.5
162,2222.5
163,2222.5
164,2244.0
165,2244.0
166,2244.0
167,2244.0
168,2244.0
169,2244.0
170,2244.0
171,2244.0
172,2222.5
173,2222.5
174,2222.5
175,2201.0
176,2201.0
177,2201.0
178,2201.0
179,2201.0
180,2201.0
181,2201.0
182,2201.0
183,2201.0
184,2201.0
185,2201.0
186,2179.5
187,2179.5
188,2179.5
189,2179.5
190,2201.0
191,2201.0
192,2201.0
193,2201.0
194,2201.0
195,2201.0
196,2201.0
197,2201.0
198,2222.5
199,2201.0
200,2201.0
201,2201.0
202,2201.0
203,2201.0
204,2201.0
205,2201.0
206,2201.0
207,2201.0
208,2201.0
209,2201.0
210,2201.0
211,2201.0
212,2201.0
213,2201.0
214,2201.0
215,2222.5
216,2222.5
217,2222.5
218,2222.5
219,2222.5
220,2222.5
221,2201.0
222,2201.0
223,2201.0
224,2201.0
225,2201.0
226,2201.0
227,2222.5
228,2222.5
229,2222.5
230,2222.5
231,2244.0
232,2244.0
233,2244.0
234,2244.0
235,2244.0
236,2244.0
237,2244.0
238,2244.0
239,2244.0
240,2244.0
241,2244.0
242,2244.0
243,2222.5
244,2222.5
245,2201.0
246,2201.0
247,2201.0
248,2201.0
249,2201.0
250,2201.0
251,2201.0
252,2201.0
253,2201.0
254,2201.0
255,2201.0
256,2201.0
257,2201.0
258,2201.0
259,2201.0
260,2222.5
261,2222.5
262,2222.5
263,2201.0
264,2201.0
265,2201.0
266,2201.0
267,2201.0
268,2201.0
269,2179.5
270,2179.5
271,2179.5
272,2179.5
273,2179.5
274,2179.5
275,2179.5
276,2179.5
277,2179.5
278,2179.5
279,2179.5
280,2179.5
281,2179.5
282,2179.5
283,2158.0
284,2158.0
285,2158.0
286,2136.5
287,2136.5
288,2158.0
289,2136.5
290,2136.5
291,2136.5
292,2158.0
293,2158.0
294,2158.0
295,2158.0
296,2158.0
297,2158.0
298,2158.0
299,2158.0
300,2158.0
301,2158.0
302,2158.0
303,2179.5
304,2179.5
305,2179.5
306,2179.5
307,2179.5
308,2179.5
309,2179.5
310,2179.5
311,2158.0
312,2158.0
313,2158.0
314,2179.5
315,2179.5
